,id,region,city,population,percentage_under_30,possible_venues_in_the_city,large_corporations_in_the_city,avg_income_in_the_city,sights_in_the_city,room_type,accommodates,bathrooms_shared,bathrooms_num,bedrooms,beds,public_transport_stops_near_the_apartment,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,amenities_wifi,amenities_kitchen,amenities_essentials,amenities_heating,amenities_washer,amenities_long_term_stays_allowed,amenities_hair_dryer,amenities_hangers,amenities_dedicated_workspace,amenities_hot_water,amenities_iron,amenities_smoke_alarm,amenities_shampoo,amenities_dishes_and_silverware,amenities_cooking_basics,amenities_refrigerator,amenities_bed_linens,amenities_stove,amenities_coffee_maker,amenities_tv,amenities_oven,amenities_free_street_parking,amenities_dishwasher,amenities_elevator,amenities_host_greets_you,amenities_first_aid_kit,amenities_microwave,amenities_extra_pillows_and_blankets,amenities_patio_or_balcony,amenities_private_entrance,amenities_fire_extinguisher,amenities_luggage_dropoff_allowed,amenities_carbon_monoxide_alarm,amenities_lock_on_bedroom_door,amenities_dryer,amenities_cable_tv,amenities_tv_with_standard_cable,amenities_bathtub,amenities_free_parking_on_premises,amenities_shower_gel,amenities_baking_sheet,amenities_room-darkening_shades,amenities_single_level_home,amenities_hot_water_kettle,amenities_freezer,amenities_backyard,amenities_paid_parking_off_premises,amenities_cleaning_products,amenities_dining_table,amenities_wine_glasses
0,36480,The North,Winterfell,213146,0.24,3,2,5729,0,Private room,1,1,0.0,1.0,1.0,5,4.5,4.69,4.61,4.94,4.88,4.73,4.48,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,72079,The North,Flints Finger,207511,0.32,6,2,3566,0,Entire home/apt,2,0,1.5,1.0,1.0,3,4.69,4.74,4.7,4.84,4.9,4.9,4.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0
2,248375,The North,Karhold,286335,0.42,7,3,7115,13,Private room,2,1,1.5,1.0,2.0,2,4.87,4.93,4.47,5.0,5.0,5.0,4.67,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,250030,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,2,0,1.0,1.0,1.0,5,4.57,4.43,4.0,4.86,4.71,4.71,4.43,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
4,250707,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,4,0,1.0,1.0,1.0,3,4.13,4.75,4.63,4.38,4.63,4.5,4.25,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1
5,345373,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,2,0,1.0,1.0,1.0,4,4.0,4.5,4.5,3.75,4.0,4.25,4.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
6,545037,The North,Widows Watch,235951,0.37,1,2,5294,10,Entire home/apt,1,0,1.0,1.0,1.0,5,5.0,5.0,4.75,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1
7,594032,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,8,0,1.0,3.0,5.0,0,4.5,4.63,4.56,4.72,4.69,4.67,4.49,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,671958,The North,Winterfell,213146,0.24,3,2,5729,0,Private room,1,0,1.0,1.0,1.0,2,4.74,4.58,4.87,4.86,4.81,4.7,4.72,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,767840,The North,Winterfell,213146,0.24,3,2,5729,0,Entire home/apt,3,0,1.0,1.0,1.0,2,4.4,5.0,4.4,4.8,5.0,4.8,5.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
